article,dutch,english,example
de,binnenstad,The city center,The city center is full of shops, cafes, and historical buildings.
de,binnenvetter,The introvert,He is a bit of an introvert who keeps his feelings to himself.
de,binnenzak,The inside pocket,He kept his wallet in the inside pocket of his jacket.
de,binnenzee,The inland sea,The Black Sea is a large inland sea between Europe and Asia.
de,bint,The beam,The roof was supported by a heavy horizontal beam.
de,biobak,The organic waste bin,Please put the vegetable scraps into the green organic waste bin.
de,biobrandstof,The biofuel,The bus runs on a sustainable biofuel made from vegetable oil.
de,biocide,The biocide,The use of a chemical biocide can be harmful to the environment.
het,biogas,The biogas,The farm uses biogas generated from animal waste for energy.
de,biograaf,The biographer,The biographer spent years researching the life of the famous poet.
de,biografes,The biographer,The female biographer wrote a compelling book about the queen.
de,biografie,The biography,I read an interesting biography of Albert Einstein last week.
de,bioloog,The biologist,The biologist studied the behavior of the birds in the forest.
de,biologes,The biologist,The female biologist is researching a new type of sea plant.
de,biopurisme,The biopurism,The concept of biopurism is important in some ecological theories.
de,biopic,The biopic,The biopic tells the life story of the legendary singer.
het,bioproduct,The organic product,I prefer to buy a local organic product whenever possible.
het,biopt,The biopsy,The doctor took a small biopsy to check for any abnormalities.
het,bioritme,The biorhythm,The long flight disrupted my natural biorhythm for a few days.
de,bioscoopbond,The cinema association,The cinema association represents the interests of the theaters.
het,bioscooptheater,The cinema theater,The old cinema theater has been beautifully restored to its glory.
de,bioscoop,The cinema,We went to the cinema to see the latest blockbuster movie.
de,biotoop,The biotope,The forest provides a natural biotope for many different species.
de,bips,The bottom,The child fell down and landed right on his little bottom.
het,bisdom,The diocese,The diocese is the administrative district of a bishop.
de,biseksueel,The bisexual,The bisexual person is attracted to both men and women.
de,bisschop,The bishop,The bishop led the religious ceremony at the cathedral.
de,bissectrice,The bisector,The bisector is a line that divides an angle into two equal parts.
de,bit,The bit,The bit is the smallest unit of digital information.
de,bitter,The bitter,A bitter is a type of alcoholic drink with a sharp taste.
de,bivak,The bivouac,The soldiers set up a temporary bivouac in the forest.
de,bivakmuts,The balaclava,The hiker wore a warm woolly balaclava in the cold wind.
de,bizon,The bison,The bison is a large and powerful animal from North America.
de,blaasbalg,The bellows,The blacksmith used a large bellows to fan the fire.
de,blaassteen,The bladder stone,A bladder stone can cause a lot of pain and discomfort.
de,blaaskapel,The brass band,The local brass band played traditional music at the festival.
de,bladder,The blister,She had a small blister on her heel after the long walk.
het,blad,The leaf,The green leaf fell from the tree and landed on the grass.
het,bladoksel,The leaf axil,The flower grows from the leaf axil on the main stem.
de,bladspiegel,The type area,The designer adjusted the type area of the book page.
de,bladwijzer,The bookmark,I used a colorful ribbon as a bookmark in my novel.
de,bladzijde,The page,Please turn to the next page of your textbook now.
het,bladzijdenummer,The page number,The page number is printed at the bottom of each sheet.
de,blafetuur,The shutter,The old house had wooden shutter on all the windows.
de,blamage,The disgrace,The team's poor performance was a real disgrace for the club.
de,blanke,The white person,The white person has a light complexion and fair skin.
de,blaar,The blister,I got a painful blister on my toe from the new shoes.
de,blasfemie,The blasphemy,The comment was considered a serious blasphemy by the community.
de,blauwdruk,The blueprint,The architect showed the blueprint of the new house to the owners.
de,blauweregen,The wisteria,The wisteria is a beautiful climbing plant with purple flowers.
de,blaas,The bladder,The bladder is the organ that stores urine in the body.
de,blazer,The blazer,He wore a stylish blue blazer and a white shirt to the party.
het,blazoen,The coat of arms,The family's coat of arms was carved into the stone above the door.
de,blein,The blister,She had a small blister on her finger after the burn.
de,blender,The blender,I use a blender to make a fresh fruit smoothie every morning.
de,blessure,The injury,The athlete had to miss the game because of a knee injury.
de,bliek,The bleak,The bleak is a small silver fish often found in rivers.
de,blink,The shine,The silver coins had a bright shine in the sunlight.
de,blockbuster,The blockbuster,The new superhero movie is a massive summer blockbuster.
het,blocnote,The notepad,I wrote down the phone number on a small notepad.
de,bloedafname,The blood sample,The nurse took a blood sample for the medical test.
het,bloedbad,The bloodbath,The historical battle ended in a devastating bloodbath.
de,bloedbaan,The bloodstream,The medication is absorbed directly into the bloodstream.
de,bloeding,The bleeding,The doctor managed to stop the bleeding from the wound.
het,bloedkoraal,The red coral,The necklace was made of beautiful and rare red coral.
het,bloedonderzoek,The blood test,The blood test showed that the patient was perfectly healthy.
de,bloedsuiker,The blood sugar,The diabetic needs to monitor his blood sugar regularly.
de,bloedsuikerspiegel,The blood sugar level,Exercise can help to lower your blood sugar level.
het,bloedvat,The blood vessel,The heart pumps blood through every blood vessel in the body.
de,bloedwaarde,The blood value,The doctor checked the patient's blood value after the surgery.
de,bloeiwijze,The inflorescence,The inflorescence of the plant consists of many small flowers.
de,bloembak,The flower box,We put a colorful flower box on the balcony this spring.
het,bloembed,The flower bed,The flower bed in the park was full of bright tulips.
het,bloembladh,The petal,The soft pink petal fell from the rose onto the table.
de,bloem,The flower,The flower in the vase was a beautiful red rose.
de,bloemenkrans,The flower wreath,The girl wore a colorful flower wreath in her hair.
de,bloemenmand,The flower basket,The bride carried a small flower basket during the ceremony.
de,bloemenvaas,The flower vase,I placed the bouquet of roses in a glass flower vase.
de,bloemenwinkel,The flower shop,The flower shop sells a wide variety of fresh bouquets.
de,bloemist,The florist,The florist created a stunning arrangement for the wedding.
de,bloemkool,The cauliflower,The cauliflower is a versatile vegetable that can be steamed or roasted.
de,bloemlezing,The anthology,The book is an anthology of modern English short stories.
het,bloemperk,The flower bed,The flower bed in the garden was full of colorful flowers.
de,bloempot,The flower pot,I planted a small geranium in a terracotta flower pot.
het,bloemstuk,The flower arrangement,The centerpiece was a beautiful flower arrangement of lilies.
het,bloemzaad,The flower seed,I sowed the flower seed in the garden earlier this spring.
de,bloesem,The blossom,The cherry blossom is a beautiful sight in the early spring.
de,bloes,The blouse,She wore a stylish white silk blouse with her skirt.
de,blogger,The blogger,The blogger writes about travel and food on her website.
de,blog,The blog,I read an interesting post on his personal blog this morning.
de,blokfluit,The recorder,The child learned to play the recorder in school.
de,blokkade,The blockade,The military set up a blockade around the city's harbor.
het,blok,The block,The child built a tall tower with a wooden block.
de,blokkering,The blockage,The blockage in the pipe was caused by a buildup of grease.
de,blokker,The blocker,The blocker prevented the attacker from reaching the goal.
de,blondine,The blonde,The blonde woman was sitting at the bar with her friends.
de,blootstelling,The exposure,The long exposure to the sun caused a painful sunburn.
de,blotevoetendokter,The barefoot doctor,The barefoot doctor provided basic medical care in the village.
de,blouse,The blouse,She wore a simple blue blouse with a pair of jeans.
de,blouson,The blouson,The blouson is a short jacket that is gathered at the waist.
de,blunder,The blunder,The politician made a huge blunder during the live debate.
de,bluts,The dent,There was a small dent in the door of the new car.
de,board,The board,The board of directors met to discuss the future of the firm.
de,bobbel,The bump,He felt a small bump on his head after hitting the door.
de,bobijn,The bobbin,The seamstress wound the thread onto a small wooden bobbin.
de,bobslee,The bobsleigh,The bobsleigh sped down the icy track at an incredible speed.
de,bochel,The hump,The camel has a large hump on its back to store fat.
de,bocht,The turn,Take the second turn on the right to reach the station.
het,bockbier,The bock beer,Bock beer is a strong lager that is popular in the autumn.
de,bodemlaag,The soil layer,The scientist studied the different soil layer in the area.
de,bodem,The bottom,The treasure was hidden at the bottom of the deep ocean.
de,bodemsanering,The soil remediation,The soil remediation of the old factory site took several months.
de,bode,The messenger,The messenger arrived with an urgent letter for the king.
de,bodybuilder,The bodybuilder,The bodybuilder has an incredibly muscular and fit physique.
de,bodyguard,The bodyguard,The famous actor was accompanied by a large bodyguard.
de,bodypaint,The body paint,The artist used colorful body paint for the performance.
de,bodywarmer,The body warmer,He wore a warm body warmer over his sweater in the garden.
de,boeddhist,The Buddhist,The Buddhist practices meditation to achieve a sense of peace.
de,boeddhologe,The Buddhologist,The female Buddhologist is an expert on ancient Buddhist texts.
de,boedel,The estate,The lawyer was responsible for the division of the estate.
de,boegbeeld,The figurehead,The figurehead on the ship was a beautifully carved mermaid.
de,boeg,The bow,The ship's bow cut through the waves of the ocean.
de,boeggolf,The bow wave,The ship created a large bow wave as it moved through the water.
de,boei,The buoy,The bright red buoy marked the entrance to the harbor.
de,boeienkoning,The escape artist,The famous escape artist managed to free himself from the chains.
de,boeier,The boeier,The boeier is a traditional Dutch sailing vessel with a flat bottom.
het,boeisels,The bulwark,The bulwark of the ship protected the deck from the waves.
de,boekaniers,The buccaneer,The buccaneer was a type of pirate in the seventeenth century.
de,boekbespreking,The book review,The magazine published a very positive book review of the novel.
de,boekbinderij,The bookbindery,The old bookbindery still uses traditional methods to bind books.
de,boekdruk,The book print,The quality of the book print was excellent and very clear.
het,boek,The book,I decided to read a book before going to sleep tonight.
het,boekenbal,The book ball,The book ball is a prestigious annual event for writers.
de,boekenbeurs,The book fair,I found a rare first edition at the international book fair.
de,boekenbon,The book voucher,I received a twenty euro book voucher for my birthday.
de,boekenkast,The bookcase,The bookcase in the living room was full of old novels.
de,boekenlegger,The bookmark,I used a colorful ribbon as a bookmark in my new novel.
de,boekenlijst,The book list,The teacher provided a book list for the summer holidays.
de,boekenmolen,The book mill,The book mill is a rotating stand used to display books.
het,boekenonderzoek,The audit,The tax office conducted a thorough audit of the firm's books.
de,boekenplank,The bookshelf,I put the new novels on the top bookshelf in my room.
de,boekenreeks,The book series,The popular book series has been translated into thirty languages.
de,boekenrek,The book rack,The small book rack was filled with colorful children's books.
de,boekensteun,The bookend,The heavy marble bookend kept the novels in place on the shelf.
de,boekentas,The school bag,The child carried his books and lunch in a large school bag.
het,boekenweekgeschenk,The book week gift,Every customer received a free book week gift with their purchase.
de,boekenwinkel,The bookstore,The bookstore has a wide variety of both new and old books.
de,boekenworm,The bookworm,My sister is a real bookworm who reads at least one book a week.
de,boekenwurm,The bookworm,The young bookworm spent all her pocket money on new novels.
de,boekerij,The library,The old boekerij in the manor house was full of rare volumes.
het,boeket,The bouquet,He gave his wife a beautiful bouquet of red roses.
de,boekhandelaar,The bookseller,The bookseller recommended a great new thriller to the customer.
de,boekhandel,The bookstore,The bookstore in the city center has a cozy reading corner.
de,boekhouder,The accountant,The accountant is responsible for managing the company's books.
de,boekhouding,The accounting,The accounting of the small firm is done by a local professional.
de,boekhoudster,The accountant,The female accountant was praised for her attention to detail.
de,boeking,The booking,I made a booking for a double room at the hotel.
het,boekjaar,The fiscal year,The company's fiscal year ends on the 31st of December.
de,boekomslag,The book cover,The book cover was decorated with a beautiful illustration.
het,boekverslag,The book report,The student wrote a detailed book report for his Dutch class.
de,boekwaarde,The book value,The book value of the asset has decreased over the years.
het,boekwerk,The book,The heavy and ornate book was an ancient religious text.
de,boekwinkel,The bookstore,The local bookstore organizes a reading group every month.
de,boeman,The bogeyman,The naughty child was afraid of the bogeyman under his bed.
de,boemeltrein,The local train,The local train stops at every small station along the way.
de,boemerang,The boomerang,The boomerang returned to the thrower after flying in a circle.
de,boender,The scrubbing brush,She used a scrubbing brush to clean the wooden floor.
de,boerderij,The farm,The old farm was surrounded by green fields and apple trees.
de,boer,The farmer,The farmer was busy milking the cows early in the morning.
het,boerenbedrijf,The farm,The family has run the small farm for over three generations.
de,boerenbond,The farmers' union,The farmers' union campaigned for better prices for their products.
het,boerenbrood,The farmhouse bread,The bakery sells a delicious and crusty farmhouse bread.
de,boerenbruiloft,The rustic wedding,The rustic wedding was a festive and joyful celebration.
de,boerendochter,The farmer's daughter,The farmer's daughter helped her father with the daily tasks.
de,boerenfamilie,The farming family,The farming family has lived in the village for centuries.
de,boerenhoeve,The farmhouse,The large stone farmhouse was built in the eighteenth century.
de,boerenkar,The farm cart,The farm cart was filled with fresh hay for the horses.
de,boerenkool,The kale,The kale is a nutritious vegetable often used in Dutch mash.
de,boerenlul,The clodhopper,The rude man was called a clodhopper by his angry neighbor.
de,boerenzoon,The farmer's son,The farmer's son plans to take over the farm in the future.
de,boerin,The farmer,The female farmer was busy feeding the chickens in the yard.
de,boetedoening,The penance,The sinner performed a long penance for his misdeeds.
de,boete,The fine,The driver had to pay a fine for parking his car illegally.
de,boetiek,The boutique,The stylish boutique sells unique clothes and accessories.
de,boef,The rogue,The little rogue was always up to some naughty trick.
de,boezem,The bosom,She clutched the locket against her bosom and sighed.
de,boezemvriend,The bosom friend,He shared all his secrets with his loyal bosom friend.
de,boffer,The lucky person,You are a real lucky person to have won that great prize.
de,boog,The arch,The bridge was supported by a large and elegant stone arch.
de,bohemienne,The bohemian,The bohemian woman lived an unconventional and artistic life.
de,bohemien,The bohemian,The artist lived a bohemian lifestyle in a small attic room.
de,boiler,The water heater,The water heater was broken, so there was no hot water today.
de,bokaal,The goblet,The king raised his silver goblet and proposed a toast.
de,bokkepoot,The goat's foot,The goat's foot is a traditional Dutch cookie dipped in chocolate.
de,bokkensprong,The caper,The young goat made a playful caper in the green field.
de,bokking,The bloater,The bloater is a type of salted and smoked herring.
de,bokser,The boxer,The boxer trained hard for his upcoming title match.
de,bolder,The bollard,The ship was securely tied to the iron bollard on the quay.
de,boleet,The bolete,The bolete is a type of mushroom that is popular in cooking.
de,bolide,The racing car,The sleek bolide sped around the track at an incredible speed.
de,bolleboos,The brainbox,My brother is a real brainbox who always gets top marks.
de,bol,The ball,The child played with a small colorful ball in the park.
de,bollenstreek,The bulb region,The bulb region is famous for its beautiful fields of tulips.
de,bollenveld,The bulb field,The bulb field was a sea of vibrant red and yellow flowers.
de,bolling,The bulge,There was a small bulge in the wall behind the cupboard.
de,bolsjewiek,The Bolshevik,The Bolshevik was a member of the radical socialist party.
de,bolster,The husk,The chestnut was still inside its prickly green husk.
de,bolus,The bolus,The Zeeuwse bolus is a sweet and sticky cinnamon pastry.
het,bolwerk,The bulwark,The ancient city was protected by a strong stone bulwark.
de,bomaanslag,The bomb attack,The city was on high alert following the news of a bomb attack.
het,bombardement,The bombardment,The bombardment caused a lot of damage to the city center.
de,boom,The tree,An old oak tree stood in the middle of the large field.
de,boommelding,The bomb threat,The building was evacuated following a serious bomb threat.
de,bom,The bomb,The bomb was successfully defused by the local police.
de,bommoeder,The single mother by choice,She decided to become a single mother by choice through adoption.
de,bonbonnière,The candy dish,The crystal candy dish was full of delicious chocolates.
de,bonbon,The chocolate,I enjoyed a delicious dark chocolate with my cup of coffee.
de,bondgenootschap,The alliance,The two countries formed a military alliance to protect themselves.
de,bondgenoot,The ally,The king was joined by his loyal ally in the great battle.
de,bondgenote,The ally,The female ally provided essential support during the conflict.
de,bondscoach,The national coach,The national coach announced the lineup for the final match.
de,bondsdag,The Bundestag,The Bundestag is the federal parliament of Germany.
de,bondskanselier,The federal chancellor,The federal chancellor is the head of the German government.
de,bondspresident,The federal president,The federal president is the ceremonial head of state in Germany.
de,bondsrepubliek,The federal republic,Germany is a federal republic consisting of sixteen states.
de,boon,The bean,The green bean is a healthy and versatile vegetable for cooking.
de,bonenstaak,The beanstalk,Jack climbed the giant beanstalk to reach the giant's castle.
de,bonk,The chunk,He cut off a large chunk of bread and ate it with cheese.
de,bon,The voucher,I received a ten euro voucher for the local bookstore.
de,bonsai,The bonsai,The bonsai is a miniature tree that requires careful pruning.
de,bontmantel,The fur coat,The woman wore a thick and expensive fur coat in the winter.
de,bonus,The bonus,The employees received a generous bonus at the end of the year.
de,bonze,The bonze,The bonze is a Buddhist monk in some East Asian countries.
de,boobytrap,The booby trap,The soldiers discovered a hidden booby trap in the forest.
de,boodschap,The message,I left a short message for my colleague on his desk.
de,boodschappenlijst,The shopping list,I wrote down everything I needed on a small shopping list.
de,boodschappentas,The shopping bag,I carried my groceries in a large reusable shopping bag.
de,boogscheut,The bowshot,The house was located just a bowshot away from the lake.
de,boogschutter,The archer,The archer aimed his arrow at the center of the target.
de,bookmaker,The bookmaker,The bookmaker took bets on the outcome of the horse race.
de,boombast,The tree bark,The tree bark was rough and covered in thick green moss.
de,boomgaard,The orchard,The apple orchard was full of ripe fruit in the autumn.
de,boomhut,The tree house,The children built a secret tree house in the old oak tree.
de,boommarter,The pine marten,The pine marten is a shy animal that lives in the forest.
de,boomschors,The tree bark,The tree bark was peeling off in large and dry flakes.
de,boomstam,The tree trunk,The heavy tree trunk was moved with the help of a tractor.
de,boomwortel,The tree root,The tree root had pushed up the pavement of the sidewalk.
de,boontjedief,The petty thief,The petty thief was caught stealing a loaf of bread.
de,booractiviteit,The drilling activity,The drilling activity in the area caused some local concern.
de,boord,The edge,The child sat on the edge of the large swimming pool.
de,boorling,The native,The native was born and raised in the small mountain village.
de,boormachine,The drill,The carpenter used a power drill to make a hole in the wood.
het,boorplatform,The oil rig,The large oil rig was visible from the shore on a clear day.
de,boosdoener,The villain,The villain in the story was eventually caught by the hero.
de,boosheid,The anger,He felt a sudden surge of anger when he heard the news.
de,booster,The booster,The booster rocket helped launch the satellite into space.
de,booswicht,The villain,The villain hatched a cunning plan to take over the world.
de,bootee,The bootie,The baby was wearing a pair of soft and warm woolly bootie.
de,bootsman,The boatswain,The boatswain is responsible for the deck crew of the ship.
de,boottocht,The boat trip,We took a romantic boat trip on the river at sunset.
de,bootvluchteling,The boat refugee,The boat refugee was rescued by the coast guard in the night.
de,bordeauxwijn,The Bordeaux wine,He enjoyed a glass of fine Bordeaux wine with his dinner.
het,bordeel,The brothel,The old brothel has been converted into a trendy boutique hotel.
het,bord,The plate,I put the delicious pasta onto a large white ceramic plate.
de,bordenwisser,The blackboard eraser,The teacher used a blackboard eraser to clean the board.
de,bordercollie,The border collie,The border collie is a very intelligent and active dog breed.
de,borderel,The borderel,The borderel is a document used in some financial transactions.
de,borderliner,The person with borderline,The person with borderline can experience intense and unstable emotions.
de,border,The border,The garden has a beautiful flower border along the fence.
het,bordes,The platform,The king stood on the platform and waved to the crowd.
het,bordspel,The board game,We enjoyed a fun game of Monopoly, a classic board game.
het,borduursel,The embroidery,The dress was decorated with a beautiful silk embroidery.
de,boreling,The newborn,The newborn was sleeping peacefully in his small wooden crib.
de,boor,The drill,The dentist used a small drill to fix the patient's tooth.
de,borg,The bail,The suspect was released on bail after his lawyer intervened.
de,borgstelling,The guarantee,The bank required a personal guarantee before granting the loan.
de,borgtocht,The bail,The suspect's family paid the bail to get him out of jail.
de,boring,The borehole,The scientist collected samples from the deep borehole.
het,borrelglas,The shot glass,He enjoyed a small shot glass of jenever before dinner.
de,borrel,The drink,Would you like a drink before we go to the restaurant?
de,borstel,The brush,She used a soft brush to clean the old leather shoes.
de,borst,The breast,The mother held her baby close to her breast and sighed.
de,borstkas,The chest,The doctor listened to the patient's heart and chest.
de,borstvoeding,The breastfeeding,The mother decided to continue breastfeeding for six months.
de,borstwering,The parapet,The soldier hid behind the stone parapet of the fortress.
de,bosananas,The wild pineapple,The wild pineapple grows in the tropical forests of South America.
de,bosbes,The blueberry,The blueberry is a sweet blue fruit that is high in antioxidants.
de,bosbrand,The forest fire,The forest fire destroyed thousands of hectares of old woodland.
de,bosklas,The forest school,The children spent a week at a forest school learning about nature.
de,boslandcreool,The Bushinengue,The Bushinengue are a group of people in the interior of Suriname.
de,bosmeester,The forester,The forester is responsible for the management of the woods.
de,bosneger,The Maroon,The Maroon lived in the interior of Suriname after escaping slavery.
de,boson,The boson,The Higgs boson is a subatomic particle discovered in 2012.
het,bospad,The forest path,We followed a narrow forest path through the thick trees.
de,bossage,The thicket,The rabbit hid from the fox in a dense and thorny thicket.
de,bosschage,The thicket,The thicket was a perfect hiding place for the small birds.
het,bos,The forest,We took a long and peaceful walk through the local forest.
de,bosspin,The wood spider,The wood spider spun a large web between two old trees.
de,boston,The Boston,The Boston is a type of ballroom dance similar to the waltz.
de,bosyaw,The bush yaws,Bush yaws is a tropical disease that affects the skin and bones.
de,botanicus,The botanist,The botanist studied the rare plants in the remote valley.
het,botel,The boat hotel,We stayed in a cozy boat hotel on the river in Amsterdam.
de,boot,The boat,The boat was anchored in the quiet and sheltered bay.
het,botenhuis,The boathouse,The rowing club has a large boathouse next to the river.
de,boterham,The slice of bread,I had a slice of bread with cheese for my lunch today.
de,botervloot,The butter dish,Please put the butter dish back into the fridge after use.
de,botsing,The collision,The collision between the two cars was a serious accident.
de,bottel,The bottle,I drank a whole bottle of fresh water after the long run.
de,bot,The bone,The dog was chewing on a large and juicy beef bone.
de,botterik,The boor,Nobody likes a boor who has no manners and is rude.
de,botter,The botter,The botter is a traditional Dutch fishing vessel for the Zuiderzee.
de,bottine,The boot,She wore a pair of stylish leather boot with her jeans.
de,bottleneck,The bottleneck,The narrow bridge was a major bottleneck for the local traffic.
het,boudoir,The boudoir,The boudoir was a private room for the lady of the house.
de,bougainville,The bougainvillea,The bougainvillea is a beautiful climbing plant with vibrant flowers.
de,bougie,The spark plug,I need to change the spark plug in my old motorcycle.
de,bouillon,The broth,The chef made a delicious beef broth for the noodle soup.
de,boulanger,The baker,The boulanger is a French word for a baker of bread.
de,boulevard,The boulevard,We took a long walk along the beautiful seaside boulevard.
de,bourbon,The bourbon,The bourbon is a type of American whiskey made from corn.
de,bourgondiër,The Burgundian,The Burgundian is a person who enjoys good food and drink.
de,bourree,The bourree,The bourree is a traditional French dance from the Auvergne.
de,boutade,The witticism,He made a clever witticism that made everyone burst into laughter.
de,bout,The bolt,The mechanic tightened the bolt with a heavy wrench.
de,bouvier,The bouvier,The bouvier is a large and powerful cattle dog from Flanders.
het,bouwbedrijf,The construction company,The construction company is building a new office in the city.
de,bouwdoos,The construction kit,The child spent hours playing with his new construction kit.
de,bouwer,The builder,The builder finished the renovation of the house last month.
de,bouwgrond,The building plot,They bought a building plot to build their dream house.
de,bouwheren,The developer,The developer presented the plans for the new neighborhood.
het,bouwjaar,The year of construction,The year of construction of the old house was 1920.
de,bouwkavel,The building plot,The building plot is located in a quiet and green area.
de,bouwlaag,The floor,The new office building has over ten different floor.
het,bouwland,The farmland,The farmland was used to grow wheat and barley.
het,bouwmateriaal,The building material,The building material was delivered to the site this morning.
de,bouwplaats,The construction site,Everyone must wear a helmet on the construction site.
het,bouwplan,The building plan,The architect presented the building plan to the local council.
de,bouwput,The construction pit,The deep construction pit was surrounded by a high fence.
de,bouwsector,The construction sector,The construction sector is a major employer in the country.
het,bouwsel,The structure,The simple wooden structure served as a temporary shelter.
de,bouwsteen,The building block,Education is a key building block for a successful future.
de,bouwstijl,The architectural style,The house was built in a traditional Gothic architectural style.
de,bouwstop,The construction stop,The council imposed a construction stop on the new project.
het,bouwterrein,The building site,The building site was busy with workers and heavy machines.
het,bouwvak,The construction trade,He has worked in the construction trade for over twenty years.
de,bouwvakker,The construction worker,The construction worker was busy laying bricks for the wall.
de,bouwvakvakantie,The construction holiday,The construction holiday is a traditional three-week break in the summer.
de,bouwval,The ruin,The old house had become a dangerous and crumbling ruin.
de,bouwvergunning,The building permit,You need a building permit before you can start the work.
het,bouwwerk,The structure,The Eiffel Tower is a magnificent and iconic structure in Paris.
de,bouwwerf,The construction site,The construction site was located in the center of the city.
het,bovendeel,The upper part,The upper part of the building was painted a light blue.
het,bovengebit,The upper denture,The old man had to get a new upper denture from his dentist.
de,bovenkant,The top side,The top side of the box was decorated with a gold ribbon.
de,bowling,The bowling,We went to the local bowling for a fun night out.
de,bowl,The bowl,I ate a bowl of hot soup with a slice of bread.
de,box,The box,I put the old books into a large cardboard box.
de,boxer,The boxer,The boxer is a strong and loyal dog breed from Germany.
de,boxershort,The boxer shorts,He wore a pair of comfortable blue cotton boxer shorts.
de,boxplot,The box plot,The scientist used a box plot to display the distribution of the data.
de,boyband,The boy band,The boy band had a massive hit with their latest song.
de,boycot,The boycott,The organization called for a boycott of the company's products.
de,boy,The boy,The boy was playing with his friends in the local park.
de,braadpan,The frying pan,She used a large frying pan to cook the breakfast.
de,bracelet,The bracelet,She wore a beautiful silver bracelet on her left wrist.
de,braderie,The street fair,The local street fair was full of stalls and entertainment.
de,braderij,The street fair,The village organizes a popular street fair every summer.
de,brahman,The Brahmin,The Brahmin is a member of the highest Hindu caste.
de,brainstormsessie,The brainstorming session,The team had a productive brainstorming session this morning.
de,braak,The fallow,The field was left fallow for a year to recover.
de,brak,The beagle,The beagle is a small hound breed with a keen sense of smell.
het,brakwater,The brackish water,The brackish water in the estuary is home to many species.
de,braam,The blackberry,The blackberry is a sweet dark fruit found in the woods.
de,bram,The bramble,The bramble was covered in sharp thorns and ripe berries.
de,brancardier,The stretcher-bearer,The stretcher-bearer carried the injured soldier to safety.
de,brancard,The stretcher,The patient was carried into the hospital on a stretcher.
de,brancheorganisatie,The trade organization,The trade organization represents the interests of the sector.
de,branche,The branch,The bank opened a new branch in the city center.
het,brandalarm,The fire alarm,The loud fire alarm alerted everyone to the danger.
de,brandblusser,The fire extinguisher,There is a fire extinguisher in every room of the building.
de,brandbrief,The urgent letter,The organization sent an urgent letter to the government.
de,brand,The fire,The fire destroyed the old warehouse in the middle of the night.
de,brander,The burner,The technician checked the burner of the central heating.
het,brandgat,The burn hole,There was a small burn hole in the sleeve of his jacket.
de,brandklok,The fire bell,The old fire bell was used to warn the villagers of a fire.
de,brandmeester,The fire chief,The fire chief directed the firemen during the emergency.
de,brandmeldinstallatie,The fire alarm system,The building is equipped with a modern fire alarm system.
het,brandmerk,The brand,The cattle were marked with a unique brand for identification.
de,brandnetel,The stinging nettle,I accidentally touched a stinging nettle and my hand is itchy.
de,brandslang,The fire hose,The firemen used a long fire hose to put out the blaze.
de,brandstapel,The pyre,In the Middle Ages, some people were burned on a pyre.
de,brandstichting,The arson,The police are investigating a suspected case of arson.
de,brandstof,The fuel,The car's fuel tank was nearly empty after the trip.
de,brandverzekering,The fire insurance,It is mandatory to have fire insurance for your house.
de,brandweerkazerne,The fire station,The fire station is located at the end of the street.
het,brandweerkorps,The fire department,The local fire department arrived at the scene within minutes.
de,brandweerman,The fireman,The brave fireman rescued the child from the burning house.
de,brandweervrouw,The firewoman,The firewoman was praised for her courage and skill.
de,brandweerwagen,The fire engine,The large red fire engine sped through the city streets.
de,brandwonde,The burn,She sustained a small burn on her hand from the oven.
het,brandwondencentrum,The burn center,The patient was treated at the specialized burn center.
de,brasem,The bream,The bream is a common freshwater fish found in many rivers.
de,brassband,The brass band,The brass band played traditional music at the summer festival.
de,brasserie,The brasserie,We enjoyed a delicious lunch at the local brasserie.
de,braverik,The goody-goody,He was always a bit of a goody-goody in school.
de,break,The break,The players took a short break between the two halves.
de,breedbeeldtelevisie,The widescreen television,We bought a new widescreen television for our living room.
de,breedte,The width,The width of the room is about four meters.
de,breezer,The Breezer,The Breezer is a popular alcoholic drink flavored with fruit.
het,brein,The brain,The human brain is a very complex and powerful organ.
het,breisel,The knit,The child wore a warm woolly knit during the winter.
de,breister,The knitter,The knitter made a beautiful sweater for her grandson.
het,breiwerk,The knitting,She took her knitting with her on the long train trip.
de,brekebenen,The clumsy person,He is a real clumsy person who is always tripping over things.
de,brem,The broom,The broom is a plant with bright yellow flowers in the spring.
de,bres,The breach,The soldiers managed to make a breach in the city wall.
de,bretel,The suspender,He wore a pair of stylish leather suspender with his trousers.
de,breuk,The fracture,The doctor confirmed that the patient had a leg fracture.
het,brevet,The certificate,He received his official certificate after finishing the course.
de,briefkaart,The postcard,I sent a short postcard to my parents from our holiday.
de,briefomslag,The envelope,He put the letter into a small white envelope.
de,briefopener,The letter opener,She used a silver letter opener to open her mail.
de,briefweger,The letter scale,The clerk used a letter scale to determine the postage.
de,briefwisseling,The correspondence,The correspondence between the two writers lasted for years.
de,brief,The letter,I received a long and interesting letter from my old friend.
de,brievenbesteller,The postman,The postman delivered the mail to our house every morning.
de,brievenbus,The mailbox,Please put the letter into the red mailbox on the corner.
de,briefhoofd,The letterhead,The company's letterhead includes its logo and address.
de,brigadegeneraal,The brigadier general,The brigadier general commanded the entire brigade.
de,brigade,The brigade,The brigade was sent to the front line during the war.
de,brigadier,The sergeant,The sergeant was responsible for the training of the new recruits.
de,brij,The mash,The child enjoyed a small bowl of sweet apple mash.
de,briket,The briquette,The barbecue was fueled by a large bag of charcoal briquette.
de,brik,The brig,The brig is a type of sailing ship with two masts.
